                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0488,                 6.1316,                 1.4248,                      0,                      0,                      0,                      0,                 1.9457,                 5.5591,                 1.4906,                 0.0004,                 0.0004,                 0.0004
                      1,                  2.008,                 5.9805,                 1.3893,                      0,                      0,                      0,                      0,                 1.4083,                 5.4504,                  1.134,             0.00089998,             0.00089998,             0.00089998
                      2,                 1.5158,                 5.6683,                 1.0941,                      0,                      0,                      0,                      0,                 1.1243,                  5.205,                0.90991,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.3889,                 5.5067,                0.98665,                      0,                      0,                      0,                      0,                 1.0576,                 5.1703,                0.88353,              0.0018999,              0.0018999,              0.0018999
                      4,                 1.3307,                    5.4,                0.97191,                      0,                      0,                      0,                      0,                 0.9904,                 5.1436,                0.86824,              0.0023998,              0.0023998,              0.0023998
                      5,                 1.2598,                 5.2639,                0.94659,                      0,                      0,                      0,                      0,                0.99913,                 5.1237,                0.85963,              0.0028997,              0.0028997,              0.0028997
                      6,                 1.3067,                 5.1802,                0.94747,                      0,                      0,                      0,                      0,                 1.0172,                 5.0545,                0.85109,              0.0033996,              0.0033996,              0.0033996
                      7,                  1.373,                 4.9445,                0.96329,                      0,                      0,                      0,                      0,                 1.1309,                 4.9607,                0.87997,              0.0038995,              0.0038995,              0.0038995
                      8,                 1.4192,                 4.8484,                0.96965,                      0,                      0,                      0,                      0,                 1.1143,                 4.8063,                0.86004,              0.0043993,              0.0043993,              0.0043993
                      9,                 1.3411,                  4.549,                0.96822,                0.00223,                0.01042,                0.00336,                0.00269,                 1.2702,                 4.8192,                0.91712,              0.0048991,              0.0048991,              0.0048991
                     10,                 1.3913,                 4.4957,                0.96864,                0.01353,                0.04688,                0.01968,                0.01554,                 1.3298,                 4.7042,                0.93423,              0.0053989,              0.0053989,              0.0053989
                     11,                 1.3971,                  4.351,                 0.9647,                 0.0202,                0.13021,                 0.0293,                0.02044,                 1.2739,                 4.4919,                0.92309,              0.0058987,              0.0058987,              0.0058987
